Name,Description,regularPrice,currentPrice,Image
Cerveza mbu 750 ml ale porter,CERV GOLD CACAO PORTER MBU  6.5G 750 ML,5990,5990,https://www.tottus.cl/static/images/temp/placeholder-image.jpg
Pack cerveza kunstmann 6X350cc torobayo botella,,7059,7059,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-DG-FOV6-.jpg
Pack cerveza budweiser 6X355cc lata,,4739,4739,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-xlo4vHJi.jpg
Cerveza weidmann 500ml,,590,590,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Gky9mn2t.jpg
Pack cerveza becks 6X330cc lager,CERVEZA LAGER  BECKS  0G 330 X6 CC,3890,3890,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20435127-5CxlNYKP.jpg
Pack cerveza grolsch 6X330cc lata,,5659,5659,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-EXg0NBJl.jpg
Cerveza kunstmann 470 cc,CERVEZA TOROBAYO LT KNST  5G 470 CC ,1679,1679,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20424526-NbJXEPQ4.jpg
Cerveza wychwood 500ml lata,,1490,1490,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20235638-RXRZwwQX.jpg
Pack cerveza carlsberg 6X330cc lata,,5359,5359,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20093441-XxaCp_3Q.jpg
Cerveza cristal 1 lt,CERVEZA CRISTAL DESECH. 4.6G GL 1 LT ,1000,1000,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-086HAodU.jpg
Pack cerveza cusqueña 4X330cc dark lager,,4699,4699,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-3TgOnXlQ.jpg
Cerveza weidmann 330ml lata,,599,599,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20352136-DmrI3SA0.jpg
Cerveza mbu 300 ml ipa botella,,2989,2989,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-eVQgt0bJ.jpg
Cerveza monastere 750 ml rubia,,1990,1990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-MoyNy--m.jpg
Cerveza omer 330 ml rubia,,1797,1797,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-HyTlwPxJ.jpg
Pack cerveza mahou 6X330cc sin gluten botella,,7619,7619,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-HP18wptj.jpg
Pack cerveza corona 24X355cc lager botella,,14990,14990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Nf7E7jh4.jpg
Cerveza weidmann 330ml lata,,628,628,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-tfweOykZ.jpg
Pack cerveza cristal 18X350cc lata,,8399,8399,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-b0VFZFX5.jpg
Cerveza budweiser 946 ml lager,CERVEZA LAGER  BUDWEISER  5G 946 CC,1990,1990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-LlxcAkX1.jpg
Cerveza kross 330cc,,1990,1990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-VuFu9svC.jpg
Pack cerveza budweiser 12X355cc lata,,8559,8559,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-m91dM6S7.jpg
Cerveza kross 701 cc golden botella,,2459,2459,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Aw8w38jw.jpg
Cerveza delirium 330 cc,,2599,2599,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20406894-2HldfQ1x.jpg
Pack cerveza budweiser 6X355cc long neck botella,,5159,5159,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Q1O__2Eg.jpg
Pack cerveza austral 4X330cc lager long neck botella,,3990,3990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Pm9LaC4K.jpg
Pack cerveza royal guard 24X355cc lager,CERVEZA LAGER X24 LN ROYAL G  5G 355 CC,19390,19390,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-aBBDgnSa.jpg
Cerve Artesanal Flann Bot 4.2º Gl 333 Cc,,867,867,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-_nwmlcK1.jpg
Cerveza gulden draak 750 cc,,6229,6229,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-sxmNCuOZ.jpg
Pack cerveza escudo 6X355cc long neck,,4219,4219,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-WDjUvyJ3.jpg
Cerveza oettinger 500 cc,,699,699,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-HW7hMdLA.jpg
